リスト名,作成者,タグ,No.,熟語,読み,意味,例文
みんなの日本語 初級語彙,ChatGPT,初級/N5,1,あります,あります,"exist, be (inanimate things)",つくえの うえに ほんが あります。
みんなの日本語 初級語彙,ChatGPT,初級/N5,2,います,います,"exist, be (animate things)",こうえんに こどもが います。
みんなの日本語 初級語彙,ChatGPT,初級/N5,3,いろいろ,いろいろ,various,いろいろな くにへ いきたいです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,4,男の人,おとこの ひと,man,あの おとこの ひとは せんせいです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,5,女の人,おんなの ひと,woman,おんなの ひとが います。
みんなの日本語 初級語彙,ChatGPT,初級/N5,6,男の子,おとこの こ,boy,おとこの こが サッカーを しています。
みんなの日本語 初級語彙,ChatGPT,初級/N5,7,女の子,おんなの こ,girl,おんなの こが ほんを よんでいます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,8,犬,いぬ,dog,いぬが すきです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,9,猫,ねこ,cat,ねこが います。
みんなの日本語 初級語彙,ChatGPT,初級/N5,10,パンダ,パンダ,panda,どうぶつえんに パンダが います。
みんなの日本語 初級語彙,ChatGPT,初級/N5,11,象,ぞう,elephant,ぞうは おおきいです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,12,木,き,"tree, wood",おおきい きが あります。
みんなの日本語 初級語彙,ChatGPT,初級/N5,13,物,もの,thing,これは わたしの ものです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,14,電池,でんち,battery,でんちを かいます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,15,箱,はこ,box,はこの なかに ねこが います。
みんなの日本語 初級語彙,ChatGPT,初級/N5,16,スイッチ,スイッチ,switch,スイッチを おしてください。
みんなの日本語 初級語彙,ChatGPT,初級/N5,17,冷蔵庫,れいぞうこ,refrigerator,れいぞうこに ジュースが あります。
みんなの日本語 初級語彙,ChatGPT,初級/N5,18,テーブル,テーブル,table,テーブルの うえに はなが あります。
みんなの日本語 初級語彙,ChatGPT,初級/N5,19,ベッド,ベッド,bed,ベッドで ねます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,20,棚,たな,shelf,ほんだなが あります。
みんなの日本語 初級語彙,ChatGPT,初級/N5,21,ドア,ドア,door,ドアを しめてください。
みんなの日本語 初級語彙,ChatGPT,初級/N5,22,窓,まど,window,まどを あけます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,23,ポスト,ポスト,"postbox, mailbox",ポストに てがみを いれます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,24,ビル,ビル,building,あたらしい ビルです。
みんなの日本語 初級語彙,ChatGPT,初級/N5,25,ATM,エーティーエム,"cash machine, ATM",ATMで おかねを おろします。
みんなの日本語 初級語彙,ChatGPT,初級/N5,26,コンビニ,コンビニ,convenience store,コンビニで べんとうを かいます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,27,公園,こうえん,park,こうえんで あそびます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,28,喫茶店,きっさてん,"café, coffee shop",きっさてんで コーヒーを のみます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,29,〜屋,〜や,"~ shop, ~ store",ほんやへ いきます。
みんなの日本語 初級語彙,ChatGPT,初級/N5,30,乗り場,のりば,"boarding place, stop",タクシーの のりばは どこですか。
みんなの日本語 初級語彙,ChatGPT,初級/N5,31,県,けん,prefecture,かながわけんに すんでいます。
